POAexemptCode,Description
B90.0,Sequelae of central nervous system tuberculosis
B90.1,Sequelae of genitourinary tuberculosis
B90.2,Sequelae of tuberculosis of bones and joints
B90.8,Sequelae of tuberculosis of other organs
B90.9,Sequelae of respiratory and unspecified tuberculosis
B91,Sequelae of poliomyelitis
B92,Sequelae of leprosy
B94.0,Sequelae of trachoma
B94.1,Sequelae of viral encephalitis
B94.2,Sequelae of viral hepatitis
B94.8,Sequelae of other specified infectious and parasitic diseases
B94.9,Sequelae of unspecified infectious and parasitic disease
E64.0,Sequelae of protein-calorie malnutrition
E64.1,Sequelae of vitamin A deficiency
E64.2,Sequelae of vitamin C deficiency
E64.3,Sequelae of rickets
E64.8,Sequelae of other nutritional deficiencies
E64.9,Sequelae of unspecified nutritional deficiency
I25.2,Old myocardial infarction
I69.00,Unspecified sequelae of nontraumatic subarachnoid hemorrhage
I69.010,Attention and concentration deficit following nontraumatic subarachnoid hemorrhage
I69.011,Memory deficit following nontraumatic subarachnoid hemorrhage
I69.012,Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage
I69.013,Psychomotor deficit following nontraumatic subarachnoid hemorrhage
I69.014,Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage
I69.015,Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage
I69.018,Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
I69.019,Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
I69.020,Aphasia following nontraumatic subarachnoid hemorrhage
I69.021,Dysphasia following nontraumatic subarachnoid hemorrhage
I69.022,Dysarthria following nontraumatic subarachnoid hemorrhage
I69.023,Fluency disorder following nontraumatic subarachnoid hemorrhage
I69.028,Other speech and language deficits following nontraumatic subarachnoid hemorrhage
I69.031,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
I69.032,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
I69.033,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
I69.034,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
I69.039,Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
I69.041,Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
I69.042,Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
I69.043,Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
I69.044,Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
I69.049,Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
I69.051,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
I69.052,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
I69.053,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
I69.054,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
I69.059,Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
I69.061,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
I69.062,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
I69.063,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
I69.064,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
I69.065,"Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral"
I69.069,Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side
I69.090,Apraxia following nontraumatic subarachnoid hemorrhage
I69.091,Dysphagia following nontraumatic subarachnoid hemorrhage
I69.092,Facial weakness following nontraumatic subarachnoid hemorrhage
I69.093,Ataxia following nontraumatic subarachnoid hemorrhage
I69.098,Other sequelae following nontraumatic subarachnoid hemorrhage
I69.10,Unspecified sequelae of nontraumatic intracerebral hemorrhage
I69.110,Attention and concentration deficit following nontraumatic intracerebral hemorrhage
I69.111,Memory deficit following nontraumatic intracerebral hemorrhage
I69.112,Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
I69.113,Psychomotor deficit following nontraumatic intracerebral hemorrhage
I69.114,Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage
I69.115,Cognitive social or emotional deficit following nontraumatic intracerebral hemorrhage
I69.118,Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
I69.119,Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
I69.120,Aphasia following nontraumatic intracerebral hemorrhage
I69.121,Dysphasia following nontraumatic intracerebral hemorrhage
I69.122,Dysarthria following nontraumatic intracerebral hemorrhage
I69.123,Fluency disorder following nontraumatic intracerebral hemorrhage
I69.128,Other speech and language deficits following nontraumatic intracerebral hemorrhage
I69.131,Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side
I69.132,Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side
I69.133,Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
I69.134,Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
I69.139,Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side
I69.141,Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side
I69.142,Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side
I69.143,Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
I69.144,Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
I69.149,Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side
I69.151,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
I69.152,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
I69.153,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
I69.154,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
I69.159,Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
I69.161,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
I69.162,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
I69.163,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
I69.164,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
I69.165,"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
I69.169,Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
I69.190,Apraxia following nontraumatic intracerebral hemorrhage
I69.191,Dysphagia following nontraumatic intracerebral hemorrhage
I69.192,Facial weakness following nontraumatic intracerebral hemorrhage
I69.193,Ataxia following nontraumatic intracerebral hemorrhage
I69.198,Other sequelae of nontraumatic intracerebral hemorrhage
I69.20,Unspecified sequelae of other nontraumatic intracranial hemorrhage
I69.210,Attention and concentration deficit following other nontraumatic intracranial hemorrhage
I69.211,Memory deficit following other nontraumatic intracranial hemorrhage
I69.212,Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
I69.213,Psychomotor deficit following other nontraumatic intracranial hemorrhage
I69.214,Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage
I69.215,Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage
I69.218,Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
I69.219,Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
I69.220,Aphasia following other nontraumatic intracranial hemorrhage
I69.221,Dysphasia following other nontraumatic intracranial hemorrhage
I69.222,Dysarthria following other nontraumatic intracranial hemorrhage
I69.223,Fluency disorder following other nontraumatic intracranial hemorrhage
I69.228,Other speech and language deficits following other nontraumatic intracranial hemorrhage
I69.231,Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
I69.232,Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
I69.233,Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
I69.234,Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
I69.239,Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
I69.241,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
I69.242,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
I69.243,Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
